n_depots,launch_cost,discount_rate,payload_revenue,npv_modular_depot,npv_monolithic,delta_npv,modular_wins
1,2000.0,0.05,300.0,248641389.3933541,-199496115.72886732,448137505.1222214,True
1,2000.0,0.05,500.0,2455932631.336379,1859855676.1942089,596076955.1421702,True
1,2000.0,0.07,200.0,-1078506409.1604118,-1367936486.8199856,289430077.6595738,True
1,2000.0,0.07,300.0,-247794641.12521374,-603686334.4458112,355891693.3205974,True
1,2000.0,0.07,500.0,1413628894.945184,924813970.3025384,488814924.6426456,True
1,2000.0,0.1,200.0,-1246987968.0334709,-1451344730.2096057,204356762.17613482,True
1,2000.0,0.1,300.0,-683001149.2856898,-944179353.4569963,261178204.1713065,True
1,2000.0,0.1,500.0,444972488.20987195,70151400.04822096,374821088.161651,True
2,500.0,0.05,200.0,1413386121.054798,1237220841.019706,176165280.03509188,True
2,500.0,0.05,300.0,2517031742.026311,2266896736.981244,250135005.04506683,True
2,500.0,0.05,500.0,4724322983.969335,4326248528.904321,398074455.0650139,True
2,500.0,0.07,200.0,951739974.3129004,804391106.8562657,147348867.45663476,True
2,500.0,0.07,300.0,1782451742.348099,1568641259.2304397,213810483.11765933,True
2,500.0,0.07,500.0,3443875278.4184966,3097141563.978789,346733714.43970776,True
2,500.0,0.1,200.0,513185265.89124316,397911882.5765117,115273383.31473148,True
2,500.0,0.1,300.0,1077172084.6390243,905077259.3291204,172094825.30990386,True
2,500.0,0.1,500.0,2205145722.1345863,1919408012.8343382,285737709.30024815,True
2,1000.0,0.05,200.0,644853451.1934534,415089890.1163355,229763561.07711792,True
2,1000.0,0.05,300.0,1748499072.1649654,1444765786.0778737,303733286.0870917,True
2,1000.0,0.05,500.0,3955790314.10799,3504117578.0009494,451672736.1070404,True
2,1000.0,0.07,200.0,264465453.73890924,80281908.96418184,184183544.7747274,True
2,1000.0,0.07,300.0,1095177221.7741082,844532061.3383563,250645160.43575191,True
2,1000.0,0.07,500.0,2756600757.8445053,2373032366.086705,383568391.7578001,True
2,1000.0,0.1,200.0,-82176191.24608755,-218506988.35219392,136330797.10610637,True
2,1000.0,0.1,300.0,481810627.5016936,288658388.4004147,193152239.1012789,True
2,1000.0,0.1,500.0,1609784264.9972558,1302989141.9056325,306795123.0916233,True
2,1500.0,0.05,200.0,-123679218.66789131,-407041060.7870347,283361842.11914337,True
2,1500.0,0.05,300.0,979966402.3036213,622634835.1745034,357331567.12911785,True
2,1500.0,0.05,500.0,3187257644.246646,2681986627.09758,505271017.149066,True
2,1500.0,0.07,200.0,-422809066.8350819,-643827288.9279016,221018222.09281975,True
2,1500.0,0.07,300.0,407902701.20011675,120422863.4462729,287479837.75384384,True
2,1500.0,0.07,500.0,2069326237.2705142,1648923168.1946225,420403069.07589173,True
2,1500.0,0.1,200.0,-677537648.3834183,-834925859.2808993,157388210.89748096,True
2,1500.0,0.1,300.0,-113550829.63563703,-327760482.5282907,214209652.89265364,True
2,1500.0,0.1,500.0,1014422807.8599253,686570270.9769268,327852536.88299847,True
2,2000.0,0.05,200.0,-892211888.5292356,-1229172011.690406,336960123.1611705,True
2,2000.0,0.05,300.0,211433732.44227672,-199496115.72886732,410929848.171144,True
2,2000.0,0.05,500.0,2418724974.3853016,1859855676.1942089,558869298.1910927,True
2,2000.0,0.07,200.0,-1110083587.409073,-1367936486.8199856,257852899.4109125,True
2,2000.0,0.07,300.0,-279371819.37387484,-603686334.4458112,324314515.0719363,True
2,2000.0,0.07,500.0,1382051716.6965227,924813970.3025384,457237746.3939843,True
2,2000.0,0.1,200.0,-1272899105.5207486,-1451344730.2096057,178445624.68885708,True
2,2000.0,0.1,300.0,-708912286.7729677,-944179353.4569963,235267066.68402863,True
2,2000.0,0.1,500.0,419061350.72259414,70151400.04822096,348909950.67437315,True
3,500.0,0.05,200.0,1394569537.6819475,1237220841.019706,157348696.66224146,True
3,500.0,0.05,300.0,2498215158.6534605,2266896736.981244,231318421.67221642,True
3,500.0,0.05,500.0,4705506400.596484,4326248528.904321,379257871.69216347,True
3,500.0,0.07,200.0,935442289.3069204,804391106.8562657,131051182.45065475,True
3,500.0,0.07,300.0,1766154057.3421192,1568641259.2304397,197512798.11167955,True
3,500.0,0.07,500.0,3427577593.4125166,3097141563.978789,330436029.43372774,True
3,500.0,0.1,200.0,499422388.5943031,397911882.5765117,101510506.01779139,True
3,500.0,0.1,300.0,1063409207.3420843,905077259.3291204,158331948.0129639,True
3,500.0,0.1,500.0,2191382844.8376465,1919408012.8343382,271974832.0033083,True
3,1000.0,0.05,200.0,619906509.961194,415089890.1163355,204816619.84485853,True
3,1000.0,0.05,300.0,1723552130.9327059,1444765786.0778737,278786344.8548322,True
3,1000.0,0.05,500.0,3930843372.8757305,3504117578.0009494,426725794.87478113,True
3,1000.0,0.07,200.0,243074604.31870222,80281908.96418184,162792695.35452038,True
3,1000.0,0.07,300.0,1073786372.3539011,844532061.3383563,229254311.0155449,True
3,1000.0,0.07,500.0,2735209908.4242983,2373032366.086705,362177542.3375931,True
3,1000.0,0.1,200.0,-99988488.60647354,-218506988.35219392,118518499.74572039,True
3,1000.0,0.1,300.0,463998330.14130765,288658388.4004147,175339941.74089295,True
3,1000.0,0.1,500.0,1591971967.63687,1302989141.9056325,288982825.7312374,True
3,1500.0,0.05,200.0,-154756517.75955966,-407041060.7870347,252284543.02747503,True
3,1500.0,0.05,300.0,948889103.2119529,622634835.1745034,326254268.0374495,True
3,1500.0,0.05,500.0,3156180345.1549773,2681986627.09758,474193718.05739737,True
3,1500.0,0.07,200.0,-449293080.66951597,-643827288.9279016,194534208.25838566,True
3,1500.0,0.07,300.0,381418687.36568266,120422863.4462729,260995823.91940975,True
3,1500.0,0.07,500.0,2042842223.43608,1648923168.1946225,393919055.24145746,True
3,1500.0,0.1,200.0,-699399365.8072503,-834925859.2808993,135526493.47364902,True
3,1500.0,0.1,300.0,-135412547.05946892,-327760482.5282907,192347935.46882176,True
3,1500.0,0.1,500.0,992561090.4360933,686570270.9769268,305990819.4591665,True
3,2000.0,0.05,200.0,-929419545.480313,-1229172011.690406,299752466.21009314,True
3,2000.0,0.05,300.0,174226075.4911993,-199496115.72886732,373722191.22006667,True
3,2000.0,0.05,500.0,2381517317.434224,1859855676.1942089,521661641.24001527,True
3,2000.0,0.07,200.0,-1141660765.6577342,-1367936486.8199856,226275721.16225147,True
3,2000.0,0.07,300.0,-310948997.62253594,-603686334.4458112,292737336.8232752,True
3,2000.0,0.07,500.0,1350474538.4478617,924813970.3025384,425660568.1453233,True
3,2000.0,0.1,200.0,-1298810243.0080266,-1451344730.2096057,152534487.2015791,True
3,2000.0,0.1,300.0,-734823424.2602454,-944179353.4569963,209355929.19675088,True
3,2000.0,0.1,500.0,393150213.2353164,70151400.04822096,322998813.1870954,True
5,500.0,0.05,200.0,1356936370.9362466,1237220841.019706,119715529.91654062,True
5,500.0,0.05,300.0,2460581991.9077597,2266896736.981244,193685254.92651558,True
5,500.0,0.05,500.0,4667873233.850783,4326248528.904321,341624704.94646263,True
5,500.0,0.07,200.0,902846919.2949605,804391106.8562657,98455812.43869483,True
5,500.0,0.07,300.0,1733558687.3301592,1568641259.2304397,164917428.09971952,True
5,500.0,0.07,500.0,3394982223.4005566,3097141563.978789,297840659.4217677,True
5,500.0,0.1,200.0,471896634.00042295,397911882.5765117,73984751.42391127,True
5,500.0,0.1,300.0,1035883452.7482041,905077259.3291204,130806193.41908371,True
5,500.0,0.1,500.0,2163857090.2437663,1919408012.8343382,244449077.40942812,True
5,1000.0,0.05,200.0,570012627.4966753,415089890.1163355,154922737.38033974,True
5,1000.0,0.05,300.0,1673658248.4681873,1444765786.0778737,228892462.39031363,True
5,1000.0,0.05,500.0,3880949490.411212,3504117578.0009494,376831912.4102626,True
5,1000.0,0.07,200.0,200292905.47828814,80281908.96418184,120010996.5141063,True
5,1000.0,0.07,300.0,1031004673.5134871,844532061.3383563,186472612.17513084,True
5,1000.0,0.07,500.0,2692428209.5838842,2373032366.086705,319395843.49717903,True
5,1000.0,0.1,200.0,-135613083.32724547,-218506988.35219392,82893905.02494845,True
5,1000.0,0.1,300.0,428373735.4205357,288658388.4004147,139715347.02012098,True
5,1000.0,0.1,500.0,1556347372.9160979,1302989141.9056325,253358231.01046538,True
5,1500.0,0.05,200.0,-216911115.94289646,-407041060.7870347,190129944.84413823,True
5,1500.0,0.05,300.0,886734505.0286161,622634835.1745034,264099669.85411263,True
5,1500.0,0.05,500.0,3094025746.9716406,2681986627.09758,412039119.87406063,True
5,1500.0,0.07,200.0,-502261108.3383841,-643827288.9279016,141566180.58951753,True
5,1500.0,0.07,300.0,328450659.69681454,120422863.4462729,208027796.25054163,True
5,1500.0,0.07,500.0,1989874195.767212,1648923168.1946225,340951027.5725894,True
